PF_ID,YEARS_SINCE_FIRST_SIP,YEARS_SINCE_FIRST_TRANSACTION,ACTIVE_SIP_COUNT,ACTIVE_SIP_AMOUNT,EQUITY_IN_SIP,DEBT_IN_SIP,OTHERS_IN_SIP,LARGE_IN_SIP,MID_IN_SIP,SMALL_IN_SIP,TOTAL_SCHEMES,REG_SCHEMES,EQUITY,DEBT,OTHERS,LARGE,MID,SMALL,PF_XIRR,DIR_XIRR,BM_XIRR,PF_CURRENT_VALUE,INVESTED_VALUE,PF_GAINS,ABSOLUTE_RETURNS,BM_CURRENT_VALUE,BM_GAINS,BM_ABSOLUTE_RETURN,Portfolio - Benchmark Gains,Portfolio - Benchmark XIRR,DIR_CURRENT_VALUE,REG_COMMISSION,REG_XIRR_LOSS,% in regular,% in direct,REG_XIRR_LOSS_LAST_MONTH,REG_COMMISSION_LAST_MONTH_ANNULISED,MG_AS_SHOWN_ON_APP,SUBCATEGORIES
MFU122ee06215ae47028524b57d8bccf34f,18,20,,,,,,,,,19,9,0.892457622,0.039350728,0.066815811,0.607483943,0.289328203,0.103187854,0.12942184,0.139618656,0.137122893,20111317.38,17497129.91,2614187.472,0.149406645,21037561.17,3540431.263,0.202343543,-926243.7911,-0.007701052,21351564.92,1240247.534,0.010196815,0.403281056,0.596718944,0.00155051,70482.65233,700546.5295,9
MFU0800632740ab44deaccf232a286248c1,8,8,,,,,,,,,22,14,0.961301514,0.000874981,0.03814967,0.65103282,0.242267193,0.106699987,0.122614977,0.134502319,0.136914228,6972872.141,4358876.79,2613995.351,0.59969471,7397003.936,3038127.146,0.696997711,-424131.7944,-0.014299251,7323517.345,350645.2037,0.011887342,0.871387449,0.128612551,0.003073881,52574.88302,1355239.759,11
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,7,10,,,,,,,,,27,9,0.431139346,0.346819532,0.223971464,0.490124168,0.263536669,0.246339164,0.080316609,0.084427571,0.076586501,35691130.96,31055150.18,4635980.782,0.149282189,35462769.97,4407619.788,0.141928787,228360.9944,0.003730108,35944493.72,253362.7606,0.004110961,0.250326331,0.749673669,0.001408461,65965.19864,943817.1865,14
MFU3a945a415ed447a080596b0f9385e5b8,7,8,,,,,,,,,31,9,0.589098583,0.11196225,0.298617268,0.696134882,0.193445225,0.110419893,0.121871365,0.126133139,0.122717814,15556516.84,11985442.96,3571073.881,0.29795093,15586786.35,3601343.388,0.300476453,-30269.50775,-0.000846449,15709420.73,152903.8936,0.004261775,0.449281551,0.550718449,0.001631839,41177.95412,520767.4437,14
MFU3de1f779ad8942e2a69b43f7e8f55d23,1,1,1,49997.5,0.96,0,0.04,0.14,0.16,0.7,7,0,0.472978444,0.03435958,0.493549515,0.391459551,0.310451439,0.298089011,-0.072832728,-0.072832728,,3083435.713,3158842.17,-75406.45726,-0.02387155,1665274.808,-1493567.362,-0.472821142,1418160.905,,3083435.713,0,0,0,1,0,0,,5
MFUbcb2304143e94a7f82d238ea5d11bce9,16,19,5,27998.6,0.918928571,0.030357143,0.048928571,0.332263815,0.304099822,0.363636364,21,4,0.951097657,0.002546317,0.046385545,0.357519014,0.382405673,0.260075313,0.165002689,0.167405854,0.162603606,5418498.386,2665121.12,2753377.266,1.033115248,5313342.079,2648220.959,0.993658764,105156.3074,0.002399084,5526201.811,107703.4242,0.002403165,0.0719064,0.9280936,0.00017975,2449.183183,478640.5864,8
MFU54f3b50705154de99af2bd733f79d909,hoi,8,,,,,,,,,6,0,0.327595773,0.026874642,0.647743019,0.895006474,0.053489847,0.051503678,0.198661676,0.198661676,0.176479481,34262852.52,27669922.62,6592929.9,0.23827063,33189328.72,5519406.101,0.199473131,1073523.799,0.022182195,34262852.52,0,2.78E-17,0,1,-1.17E-15,-8.94E-08,,4
MFUf5625b488dff44ca91d0d9650e2c1891,5,5,,,,,,,,,24,5,0.618418386,0.315901374,0.061649276,0.602689262,0.223759129,0.173551609,0.03600874,0.043953965,0.035219932,5233691.45,5065030.04,168661.4103,0.033299192,5229371.788,164341.7485,0.032446352,4319.661804,0.000788808,5277521.581,43830.13111,0.007945225,0.164903013,0.835096987,0.000670729,6578.231187,6391.679394,15
MFUf67db7ad85da45e0b254459f1ab25d03,9,9,2,6999.65,0.968571429,0,0.031428571,0.299145299,0.162393162,0.538461539,20,1,0.796843598,0.015700354,0.189349963,0.629130017,0.191898232,0.178971751,0.068598019,0.073629084,0.053855664,3637934.547,3394484.58,243449.9667,0.071719273,3569179.36,174694.7796,0.051464302,68755.18713,0.014742355,3661884.727,23950.18052,0.005031066,0.120381588,0.879618412,0.000399446,3576.959486,,11
MFU46fd51323e4d44538bbcccfd5a5a2689,6,6,3,44997.75,0.983333333,0,0.016666667,0.647777778,0.158888889,0.193333333,4,0,0.993026287,0,0.006973713,0.754283153,0.142426371,0.103290476,-0.068021556,-0.068021556,-0.033151616,641108.9323,689965.94,-48857.00771,-0.070810753,665685.7317,-24280.20832,-0.035190445,-24576.79939,-0.034869941,641108.9323,-1.16E-10,-1.39E-16,0,1,0,0,40994.16823,4
MFU7c2c6e6cbadd49fda0cb0112fa9c6a21,6,20,2,39998,0.825,0.13,0.045,0.875,0.075,0.05,20,1,0.856379486,0.064189846,0.079002737,0.70648398,0.225405893,0.068110127,-0.068736038,-0.064435219,-0.085338025,11691428.56,12097665.12,-406236.5568,-0.033579749,11605873.76,-491791.3624,-0.040651759,85554.80565,0.016601988,11714091.76,22663.2,0.004300819,0.018336716,0.981663284,4.09E-05,1503.623495,102184.2751,15
MFUd63f9f8f04964b468dd27771f31bb5a6,2,10,,,,,,,,,25,0,0.980891948,3.90E-06,0.019104147,0.326721868,0.365640211,0.307637921,0.135341816,0.135341816,0.108973003,71477628.79,51860466.01,19617162.78,0.378268155,66622919.15,14762453.14,0.284657163,4854709.645,0.026368813,71477628.79,0,2.78E-16,0,1,5.55E-16,1.79E-07,874357.8713,17
MFU7f2b0a924dde4979936c8a26db30ca3c,13,18,15,455977.73,0.829890382,0.066611844,0.10558111,0.536438611,0.270208959,0.19335243,38,2,0.660236524,0.121156762,0.219250257,0.633494616,0.213891719,0.152613664,0.070818846,0.072074677,0.073679428,13231974.21,12090201.27,1141772.942,0.094437877,13302123.13,1211921.857,0.100240007,-70148.91546,-0.002860582,13262632.73,30658.52154,0.001255831,0.055167558,0.944832442,0.000244002,7758.2473,196724.2984,14
MFU491c6168ccb6473a96f620e7214a4956,2,2,3,33998.3,0.981176471,0,0.018823529,0.580588235,0.186470588,0.232941177,5,0,0.991808371,0,0.008191629,0.638935997,0.197914383,0.163149619,-0.145581191,-0.145581191,-0.10801844,442594.5216,499974.66,-57380.13836,-0.114766093,457402.5309,-42572.1291,-0.085148574,-14808.00927,-0.03756275,442594.5216,0,0,0,1,1.33E-15,1.40E-09,23007.24147,5
MFUc996316c903f451aaf46aa4bd7b74d4c,17,17,,,,,,,,,5,1,0.89552279,0.044928152,0.059645695,0.711727695,0.177307273,0.110965032,0.133769814,0.141548218,0.116035235,1920794.997,896211.85,1024583.147,1.14323767,1668578.02,772366.17,0.861812048,252216.9768,0.017734578,2049949.54,129154.5432,0.007778405,0.668705526,0.331294474,0.001406817,9430.17351,,5
MFU773a64e92fd641db81d6c47a7e820283,10,10,,,,,,,,,47,4,0.684505725,0.04362559,0.272212986,0.484837321,0.278482219,0.23668046,-0.08417939,-0.083278922,-0.095875695,12471755.24,13064393.8,-592638.5641,-0.045362883,12418544.28,-645849.524,-0.049435859,53210.95992,0.011696305,12475902.83,4147.591529,0.000900468,0.000923284,0.999076716,4.45E-06,92.84587379,590.2261545,21
