PF_ID,TYPE,XIRR,CURRENT_VALUE,TOTAL_TAX_PAID,EXIT_TAX
MFU0800632740ab44deaccf232a286248c1,A1 - lumpsum - 24M,0.16155,8146459.78,450519.55,2389.85
MFU122ee06215ae47028524b57d8bccf34f,A1 - lumpsum - 24M,0.158669,21358379.34,1042419.33,1355.34
MFU3a945a415ed447a080596b0f9385e5b8,A1 - lumpsum - 24M,0.140895,16292197.65,570671.41,6711.1
MFU3de1f779ad8942e2a69b43f7e8f55d23,A1 - lumpsum - 24M,-0.152912,2996067.97,0,0
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,A1 - lumpsum - 24M,0.10891,37505439.32,797320.33,11980.44
MFU0800632740ab44deaccf232a286248c1,A1 - sip - 24M,0.169396,8361800.74,439757.42,13578.87
MFU122ee06215ae47028524b57d8bccf34f,A1 - sip - 24M,0.167807,21957273.01,1025196.65,19240.9
MFU3a945a415ed447a080596b0f9385e5b8,A1 - sip - 24M,0.156486,16870968.05,562830.91,30622.3
MFU3de1f779ad8942e2a69b43f7e8f55d23,A1 - sip - 24M,-0.10246,3051689.95,0,0
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,A1 - sip - 24M,0.127578,38708849.98,796060.22,54970.72
MFU0800632740ab44deaccf232a286248c1,A2 - lumpsum - 24M,0.168265,8330445.76,451425.92,3308.02
MFU122ee06215ae47028524b57d8bccf34f,A2 - lumpsum - 24M,0.167335,21925980.59,1050453.55,3154.97
MFU3a945a415ed447a080596b0f9385e5b8,A2 - lumpsum - 24M,0.157427,16906419.3,609557.55,10124.3
MFU3de1f779ad8942e2a69b43f7e8f55d23,A2 - lumpsum - 24M,-0.137978,3012746.09,0,0
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,A2 - lumpsum - 24M,0.125489,38572413.53,886731.64,18721.67
MFU0800632740ab44deaccf232a286248c1,A2 - sip - 24M,0.175967,8546298.86,440600.31,34775.01
MFU122ee06215ae47028524b57d8bccf34f,A2 - sip - 24M,0.176317,22529651.36,1030786.79,68107.77
MFU3a945a415ed447a080596b0f9385e5b8,A2 - sip - 24M,0.172927,17498796.28,593723.95,75008.52
MFU3de1f779ad8942e2a69b43f7e8f55d23,A2 - sip - 24M,-0.087706,3067580.36,0,0.71
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,A2 - sip - 24M,0.143948,39793454.25,884957.89,133745.02
MFU0800632740ab44deaccf232a286248c1,B1 - lumpsum - 24M,0.153933,7942425.83,416983.22,2359.87
MFU122ee06215ae47028524b57d8bccf34f,B1 - lumpsum - 24M,0.151414,20894227.55,970602.88,1392.59
MFU3a945a415ed447a080596b0f9385e5b8,B1 - lumpsum - 24M,0.137127,16154714.63,537149.92,6246.59
MFU3de1f779ad8942e2a69b43f7e8f55d23,B1 - lumpsum - 24M,-0.15028,2999021.56,0,0
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,B1 - lumpsum - 24M,0.105595,37295371.64,751443.24,11889.24
MFU0800632740ab44deaccf232a286248c1,B1 - sip - 24M,0.161728,8151282.29,406528.4,20669
MFU122ee06215ae47028524b57d8bccf34f,B1 - sip - 24M,0.160515,21478062.16,954773.49,31488.55
MFU3a945a415ed447a080596b0f9385e5b8,B1 - sip - 24M,0.152672,16727913.75,545947.3,44927.45
MFU3de1f779ad8942e2a69b43f7e8f55d23,B1 - sip - 24M,-0.09974,3054632.17,0,0
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,B1 - sip - 24M,0.124228,38490265.57,750325.16,80502.91
MFU0800632740ab44deaccf232a286248c1,B2 - lumpsum - 24M,0.160634,8121665.02,417890.86,6216.04
MFU122ee06215ae47028524b57d8bccf34f,B2 - lumpsum - 24M,0.160112,21451879.01,978791.79,7252.58
